Date/Time,V10,D10,V70,D70,V80,D80
2019-01-05_18:00:00,6.448,59.6,7.326,300.3,7.543,51.2
2019-01-05_19:00:00,6.266,64.8,7.015,305.5,7.252,56.9
2019-01-05_20:00:00,7.264,69.0,8.426,305.5,8.579,57.0
2019-01-05_21:00:00,7.577,62.3,8.368,302.2,8.660,53.6
2019-01-05_22:00:00,8.233,66.7,9.382,306.0,9.618,56.8
2019-01-05_23:00:00,8.737,73.5,10.035,311.3,10.224,62.3
2019-01-06_00:00:00,8.533,61.0,9.508,301.6,9.700,53.4
2019-01-06_01:00:00,8.174,69.0,9.321,306.2,9.536,58.6
2019-01-06_02:00:00,8.586,66.5,9.638,305.8,9.772,56.9
2019-01-06_03:00:00,9.785,68.0,10.972,305.2,11.085,56.8
2019-01-06_04:00:00,10.180,66.9,11.148,304.0,11.462,54.4
2019-01-06_05:00:00,9.580,67.0,10.454,304.8,10.663,55.5
2019-01-06_06:00:00,9.544,67.0,10.304,305.1,10.523,56.0
2019-01-06_07:00:00,9.031,66.2,10.045,304.0,10.297,55.1
2019-01-06_08:00:00,8.639,71.4,9.974,306.3,10.215,57.2
2019-01-06_09:00:00,7.921,66.8,8.780,304.1,8.958,55.3
2019-01-06_10:00:00,7.868,64.1,9.015,301.4,9.323,52.6
2019-01-06_11:00:00,9.347,59.4,10.627,299.6,10.928,50.3
2019-01-06_12:00:00,9.536,56.7,11.158,296.2,11.488,47.1
2019-01-06_13:00:00,9.613,56.4,11.110,296.6,11.444,46.8
2019-01-06_14:00:00,8.715,54.6,10.344,295.3,10.659,45.5
2019-01-06_15:00:00,8.416,55.9,9.913,296.3,10.118,47.0
2019-01-06_16:00:00,8.831,55.1,9.954,296.7,10.212,46.9
2019-01-06_17:00:00,8.458,52.8,10.478,292.0,10.842,41.7
2019-01-06_18:00:00,8.032,49.8,10.490,288.7,10.952,38.8
2019-01-06_19:00:00,8.763,51.8,10.951,289.3,11.328,39.4
2019-01-06_20:00:00,8.261,51.4,10.608,287.9,11.099,37.8
2019-01-06_21:00:00,7.659,48.6,9.745,285.7,10.112,35.4
2019-01-06_22:00:00,7.471,51.1,9.142,286.4,9.545,35.9
2019-01-06_23:00:00,7.318,48.5,9.236,285.7,9.654,35.7
2019-01-07_00:00:00,7.422,50.8,9.205,286.8,9.672,36.4
2019-01-07_01:00:00,7.768,51.4,9.200,286.7,9.601,36.4
2019-01-07_02:00:00,7.635,52.3,8.859,286.9,9.125,36.2
2019-01-07_03:00:00,7.106,54.1,7.922,287.9,8.170,37.5
2019-01-07_04:00:00,7.448,50.5,8.336,283.7,8.642,33.2
2019-01-07_05:00:00,7.104,49.9,7.646,283.3,7.928,32.2
2019-01-07_06:00:00,6.797,49.2,7.680,286.4,7.959,35.6
2019-01-07_07:00:00,6.766,51.5,7.353,285.1,7.545,34.3
2019-01-07_08:00:00,5.883,47.9,6.621,284.6,6.882,34.1
2019-01-07_09:00:00,5.500,48.4,6.331,284.2,6.526,33.1
2019-01-07_10:00:00,5.941,49.7,7.089,286.4,7.376,36.4
2019-01-07_11:00:00,6.368,48.3,7.903,286.2,8.222,35.8
2019-01-07_12:00:00,6.480,46.6,7.603,286.3,7.907,35.3
2019-01-07_13:00:00,5.761,50.4,7.017,287.0,7.403,36.7
2019-01-07_14:00:00,5.622,46.5,7.048,285.8,7.424,35.1
2019-01-07_15:00:00,6.080,46.8,7.409,284.6,7.765,33.8
2019-01-07_16:00:00,5.311,45.0,7.059,285.2,7.500,34.7
2019-01-07_17:00:00,4.774,47.9,6.418,288.7,6.790,38.3
2019-01-07_18:00:00,4.425,45.3,5.698,285.9,6.073,35.5
2019-01-07_19:00:00,4.992,52.6,6.331,290.1,6.543,39.3
2019-01-07_20:00:00,5.644,52.3,7.279,292.1,7.529,41.8
2019-01-07_21:00:00,5.447,57.2,6.250,298.7,6.352,49.2
2019-01-07_22:00:00,5.707,67.9,6.293,306.8,6.361,57.6
2019-01-07_23:00:00,7.341,65.0,8.092,304.1,8.305,55.3
2019-01-08_00:00:00,8.441,68.4,9.529,305.9,9.719,57.2
2019-01-08_01:00:00,8.802,63.0,9.800,302.6,10.068,54.0
2019-01-08_02:00:00,8.057,66.3,8.878,304.9,9.180,55.9
2019-01-08_03:00:00,9.429,59.0,10.417,299.2,10.708,49.9
2019-01-08_04:00:00,9.953,58.0,10.695,299.3,10.938,50.4
2019-01-08_05:00:00,10.111,61.5,10.922,299.7,11.156,50.2
2019-01-08_06:00:00,9.263,66.5,10.013,302.4,10.288,53.4
2019-01-08_07:00:00,8.776,62.2,9.680,302.1,9.938,52.9
2019-01-08_08:00:00,9.953,60.5,11.228,300.0,11.452,51.1
2019-01-08_09:00:00,10.645,59.5,12.264,298.9,12.543,49.6
2019-01-08_10:00:00,10.839,57.8,12.323,298.0,12.566,48.9
2019-01-08_11:00:00,10.246,60.5,11.997,300.0,12.358,50.7
2019-01-08_12:00:00,10.206,59.2,12.223,298.8,12.453,49.8
2019-01-08_13:00:00,9.241,59.3,10.843,299.2,11.195,49.8
2019-01-08_14:00:00,12.253,61.8,14.621,300.5,15.035,51.6
2019-01-08_15:00:00,12.110,59.5,14.244,300.6,14.594,51.5
2019-01-08_16:00:00,12.844,60.0,15.011,299.3,15.506,49.5
2019-01-08_17:00:00,12.776,60.3,14.977,299.6,15.417,50.0
2019-01-08_18:00:00,12.220,63.6,14.508,301.9,14.869,52.5
2019-01-08_19:00:00,12.414,61.7,14.663,301.4,14.995,52.0
2019-01-08_20:00:00,12.457,63.1,14.587,301.5,14.962,52.4
2019-01-08_21:00:00,11.808,63.2,13.383,301.8,13.794,52.4
2019-01-08_22:00:00,12.033,59.7,13.895,300.1,14.339,50.6
2019-01-08_23:00:00,11.280,59.5,13.488,298.7,13.877,49.2
